Dataset Size,Server Type,Server_Compute(s),Server_Compute,SSR/Serialization (s),SSR_Serialization,PW_Network,PW_Render,End-to-End Time
200M,VTK,0.0851,85.1,0.0003,0.3,0.5193,26.4965,112.4158
200M,Matplotlib,0.093,93,1.3201,1320.1,0.25,34.2558,1447.6058
200M,Plotly,0.092,92,0.0085,8.5,0.1,41.7758,142.3758
400M,VTK,0.0996,99.6,0.0005,0.5,0.5641,26.0993,126.7634
400M,Matplotlib,0.1016,101.6,1.4342,1434.2,0.28,34.7593,1570.8393
400M,Plotly,0.1053,105.3,0.0082,8.2,0.11,40.3275,153.9375
600M,VTK,0.1255,125.5,0.0006,0.6,0.5109,26.1937,152.8046
600M,Matplotlib,0.1065,106.5,1.3706,1370.6,0.27,34.0993,1511.4693
600M,Plotly,0.1139,113.9,0.0066,6.6,0.1,58.8703,179.4703
800M,VTK,0.1337,133.7,0.0004,0.4,0.5523,26.0172,160.6695
800M,Matplotlib,0.1395,139.5,1.423,1423,0.32,43.8979,1606.7179
800M,Plotly,0.137,137,0.0039,3.9,0.1,37.9779,178.9779
1B,VTK,0.148,148,0.0004,0.4,0.5479,26.0172,174.9651
1B,Matplotlib,0.1403,140.3,1.4271,1427.1,0.27,33.9089,1601.5789
1B,Plotly,0.1461,146.1,0.0041,4.1,0.1,39.591,189.891
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,dask,"vtk, 1 billion=>",148,0.4,0.82,25.61,174.83,0.17s
,numpy,,12613,1427.1,0.27,28.03,14068.4,14.07s
